lamb flux f_syn wei
3861.0 1.01574 0.97324 0.0
3862.0 1.05936 0.97651 0.0
3863.0 1.13883 0.97606 0.0
3864.0 0.98355 0.9717 0.0
3865.0 1.089 0.96671 0.0
3866.0 0.99795 0.9641 0.0
3867.0 0.90758 0.96442 0.0
3868.0 1.01309 0.96669 0.0
3869.0 1.09985 0.96892 0.0
3870.0 1.15539 0.96869 0.0
3871.0 1.07854 0.96467 0.0
3872.0 0.9839 0.95817 0.0
3873.0 0.89856 0.95308 0.0
3874.0 0.94855 0.95305 0.0
3875.0 0.96429 0.95732 0.0
3876.0 1.04793 0.96034 0.0
3877.0 1.0306 0.95711 0.0
3878.0 0.96545 0.9481 0.0
3879.0 1.0226 0.93816 0.0
3880.0 1.04856 0.93061 0.0
3881.0 0.89253 0.92384 4.782
3882.0 0.87779 0.91398 5.441
3883.0 1.01923 0.89923 5.645
3884.0 0.89783 0.87944 6.254
3885.0 0.95696 0.85258 5.753
3886.0 1.00202 0.8153 5.067
3887.0 0.94793 0.76787 4.466
3888.0 1.08062 0.71811 3.764
3889.0 1.16871 0.68005 3.967
3890.0 1.12322 0.66748 4.386
3891.0 1.09408 0.68581 4.789
3892.0 1.04948 0.72818 4.999
3893.0 1.05804 0.77978 5.001
3894.0 1.07568 0.82688 4.832
3895.0 1.04349 0.8632 4.555
3896.0 1.01713 0.88958 4.242
3897.0 1.00191 0.90907 4.274
3898.0 0.94332 0.92334 4.893
3899.0 0.91499 0.93328 5.485
3900.0 0.92704 0.94082 5.857
3901.0 0.99328 0.94851 5.94
3902.0 0.93362 0.95731 6.193
3903.0 0.98599 0.96553 5.284
3904.0 1.03575 0.97065 4.487
3905.0 1.03533 0.97191 4.05
3906.0 0.95987 0.97155 4.507
3907.0 0.95959 0.97381 5.314
3908.0 0.97201 0.98168 6.002
3909.0 0.92464 0.99363 6.558
3910.0 0.93784 1.00481 6.509
3911.0 1.03666 1.01129 5.731
3912.0 1.11768 1.01199 5.145
3913.0 0.95716 1.00788 5.309
3914.0 0.9578 1.00134 4.886
3915.0 1.04522 0.99558 4.86
3916.0 0.98104 0.99284 5.517
3917.0 0.96489 0.99272 6.006
3918.0 0.98477 0.9927 6.02
3919.0 0.91333 0.99051 6.318
3920.0 0.96429 0.98612 6.356
3921.0 0.92405 0.98126 6.724
3922.0 1.1344 0.97728 5.438
3923.0 0.95658 0.974 5.479
3924.0 0.93641 0.97088 5.474
3925.0 0.97586 0.96767 6.053
3926.0 0.93387 0.96371 6.816
3927.0 0.84598 0.95806 7.658
3928.0 0.86698 0.95025 7.831
3929.0 0.90906 0.94011 7.59
3930.0 0.87002 0.92631 7.467
3931.0 0.93347 0.90587 6.298
3932.0 0.81469 0.87687 5.81
3933.0 0.74924 0.84374 5.343
3934.0 0.82832 0.81911 5.685
3935.0 0.8685 0.81588 6.302
3936.0 0.9103 0.83585 6.931
3937.0 0.93279 0.86878 7.342
3938.0 0.98462 0.90213 7.399
3939.0 1.00368 0.92934 7.303
3940.0 1.02641 0.94978 6.752
3941.0 0.911 0.96434 6.59
3942.0 0.90758 0.97292 6.035
3943.0 0.95132 0.97539 5.495
3944.0 0.97366 0.97313 5.91
3945.0 0.90813 0.96913 6.497
3946.0 0.92641 0.9664 7.018
3947.0 0.91834 0.96607 7.468
3948.0 0.89984 0.96735 7.761
3949.0 0.91143 0.96886 7.654
3950.0 0.87103 0.96944 7.608
3951.0 0.96237 0.9686 6.329
3952.0 1.01912 0.96687 5.433
3953.0 0.99553 0.96565 5.061
3954.0 0.92424 0.96545 5.85
3955.0 0.859 0.96463 6.77
3956.0 1.0206 0.96118 6.961
3957.0 1.03827 0.95541 7.038
3958.0 0.92721 0.94935 7.204
3959.0 0.92289 0.94325 6.725
3960.0 0.97597 0.93439 0.0
3961.0 1.03773 0.92025 0.0
3962.0 0.89645 0.90127 0.0
3963.0 0.90326 0.87933 0.0
3964.0 0.85302 0.85428 0.0
3965.0 0.79886 0.8232 0.0
3966.0 0.71645 0.78233 0.0
3967.0 0.77697 0.73013 0.0
3968.0 0.8486 0.67108 0.0
3969.0 0.85397 0.61715 0.0
3970.0 0.94502 0.58352 0.0
3971.0 0.90438 0.58075 0.0
3972.0 1.00295 0.60922 0.0
3973.0 0.74237 0.65945 0.0
3974.0 0.80301 0.71764 0.0
3975.0 0.85447 0.77241 0.0
3976.0 0.80658 0.81819 0.0
3977.0 0.79565 0.85435 0.0
3978.0 0.87819 0.8826 0.0
3979.0 0.87144 0.90487 0.0
3980.0 0.90431 0.92215 0.0
3981.0 0.94443 0.9346 7.484
3982.0 1.00105 0.94281 6.776
3983.0 0.992 0.94867 6.522
3984.0 0.95272 0.95442 6.256
3985.0 0.99408 0.96093 5.925
3986.0 1.07932 0.96735 5.907
3987.0 0.99192 0.97281 6.426
3988.0 0.96319 0.97766 6.936
3989.0 1.08459 0.98237 7.051
3990.0 1.03836 0.98651 7.586
3991.0 0.95894 0.98964 8.206
3992.0 0.9186 0.99208 8.163
3993.0 0.97605 0.99415 7.337
3994.0 1.09017 0.99539 6.435
3995.0 1.02592 0.99503 6.241
3996.0 1.00536 0.99303 5.959
3997.0 1.04256 0.99048 6.269
3998.0 1.06249 0.98898 6.679
3999.0 1.05343 0.98932 7.163
4000.0 0.99704 0.99078 7.973
4001.0 1.04746 0.99173 8.185
4002.0 1.05406 0.99102 8.214
4003.0 1.06777 0.98836 8.041
4004.0 1.03086 0.98419 7.887
4005.0 0.95022 0.97967 7.759
4006.0 0.92469 0.97709 7.337
4007.0 0.9762 0.9783 6.61
4008.0 1.02345 0.98258 6.337
4009.0 0.9788 0.98728 6.951
4010.0 0.9999 0.99073 7.546
4011.0 1.12645 0.99334 7.382
4012.0 1.04799 0.99599 8.082
4013.0 1.02249 0.99877 8.574
4014.0 1.04495 1.00158 8.582
4015.0 1.00749 1.00476 8.694
4016.0 0.93431 1.00871 8.838
4017.0 0.97278 1.01321 8.133
4018.0 1.12351 1.01729 6.961
4019.0 1.08463 1.01998 6.435
4020.0 0.95735 1.02072 6.416
4021.0 0.96251 1.01898 6.934
4022.0 1.03977 1.01364 7.216
4023.0 1.01532 1.00308 7.804
4024.0 1.04889 0.98715 8.086
4025.0 1.02716 0.96955 8.439
4026.0 1.01764 0.9572 8.587
4027.0 0.93536 0.95532 9.03
4028.0 0.8502 0.96312 9.131
4029.0 0.86402 0.97474 8.657
4030.0 0.94732 0.98413 7.926
4031.0 0.97809 0.98896 7.23
4032.0 1.03806 0.99065 6.404
4033.0 0.98676 0.99185 6.614
4034.0 0.94048 0.99458 7.394
4035.0 0.95196 0.99988 7.71
4036.0 0.97338 1.00779 8.076
4037.0 1.0376 1.01694 8.274
4038.0 1.10141 1.02488 8.41
4039.0 1.06633 1.02931 8.811
4040.0 0.99569 1.02977 9.022
4041.0 0.9563 1.0276 8.833
4042.0 1.0 1.02385 8.017
